'Date', 'Value'
6/4/2022,1522.90
5/4/2022,1520.03
4/4/2022,1524.70
1/4/2022,1516.44
31/03/2022,1492.15
30/03/2022,1490.51
29/03/2022,1497.76
28/03/2022,1483.18
25/03/2022,1498.50
24/03/2022,1498.26
23/03/2022,1502.34
22/03/2022,1503.78
21/03/2022,1494.95
18/03/2022,1469.10
17/03/2022,1461.34
16/03/2022,1459.33
15/03/2022,1452.74
14/03/2022,1446.25
11/3/2022,1466.54
10/3/2022,1479.08
9/3/2022,1473.74
8/3/2022,1473.71
7/3/2022,1499.05
4/3/2022,1505.33
3/3/2022,1505.00
2/3/2022,1485.52
1/3/2022,1498.78
28/02/2022,1490.13
25/02/2022,1498.89
24/02/2022,1494.85
23/02/2022,1512.30
22/02/2022,1503.47
21/02/2022,1510.84
18/02/2022,1504.84
17/02/2022,1507.99
16/02/2022,1492.10
15/02/2022,1492.75
14/02/2022,1471.96
11/2/2022,1501.71
10/2/2022,1506.79
9/2/2022,1505.38
8/2/2022,1500.99
7/2/2022,1497.66
28/01/2022,1478.96
27/01/2022,1470.76
26/01/2022,1481.58
25/01/2022,1479.58
24/01/2022,1439.71
21/01/2022,1472.89
20/01/2022,1465.30
19/01/2022,1442.79
18/01/2022,1438.94
17/01/2022,1452.84
14/01/2022,1496.02
13/01/2022,1496.05
12/1/2022,1510.51
11/1/2022,1492.31
10/1/2022,1503.71
7/1/2022,1528.48
6/1/2022,1528.57
5/1/2022,1522.50
4/1/2022,1525.58
31/12/2021,1498.28
30/12/2021,1485.97
29/12/2021,1485.82
28/12/2021,1494.39
27/12/2021,1488.88
24/12/2021,1477.03
23/12/2021,1456.96
22/12/2021,1477.67
21/12/2021,1478.74
20/12/2021,1477.33
17/12/2021,1479.79
16/12/2021,1476.61
15/12/2021,1475.50
14/12/2021,1476.02
13/12/2021,1476.21
10/12/2021,1463.54
9/12/2021,1467.98
8/12/2021,1452.87
7/12/2021,1446.77
6/12/2021,1413.58
3/12/2021,1443.32
2/12/2021,1482.05
1/12/2021,1485.19
30/11/2021,1478.44
29/11/2021,1484.84
26/11/2021,1493.03
25/11/2021,1500.81
24/11/2021,1488.87
23/11/2021,1463.63
22/11/2021,1447.25
19/11/2021,1452.35
18/11/2021,1469.83
17/11/2021,1475.85
16/11/2021,1466.45
15/11/2021,1476.57
12/11/2021,1473.37
11/11/2021,1462.35
10/11/2021,1465.02
9/11/2021,1461.50
8/11/2021,1467.57
5/11/2021,1456.51
4/11/2021,1448.34
3/11/2021,1444.30
2/11/2021,1452.46
1/11/2021,1438.97
29/10/2021,1444.27
28/10/2021,1438.01
27/10/2021,1423.02
